month,CHN,USA,DEU,NLD,JPN,FRA,ITA,GBR,KOR,HKG
2000-01,-1.781839031250823,-1.830338797055751,-1.987351094033585,-1.7350868169450691,-2.1398430288382131,-1.955708873290505,-1.8727526971378661,-1.7123399326431561,-1.7421253549793621,-1.6393734953697749
2000-02,-1.831868050450983,-1.722659964680783,-1.937059678266384,-1.681675208502831,-1.963674355122498,-1.7696285234265741,-1.535341685521912,-1.560216654346416,-1.7561602346282379,-1.9600463892104261
2000-03,-1.725170379475518,-1.759229677346225,-1.6900520623865529,-1.5096825808207679,-1.246695334723126,-1.440306672334221,-1.221906367655536,-1.229820257454757,-1.676238953733777,-1.6062850384060541
2000-04,-1.710437565214368,-1.617893427592328,-2.018745528920129,-1.7341011284797749,-1.5100847347538791,-1.9950452397449141,-1.8366978886004699,-1.729312776125334,-1.6591205135964771,-1.5958322636784661
2000-05,-1.732402866443294,-1.5647111801749589,-1.802026607391771,-1.6308787177799831,-1.890981934726087,-1.715972591698788,-1.51365987990013,-1.629249750455654,-1.566381796003107,-1.4969838221820619
2000-06,-1.6807358499163441,-1.496604284109962,-1.8757407537930459,-1.6439664967237719,-1.528671992978782,-1.657795311133734,-1.434129306557824,-1.444769500098801,-1.561188452254036,-1.575737950838892
2000-07,-1.70145387864692,-1.506205865719654,-1.8695739699078771,-1.719413985123371,-1.656836445032291,-1.8551365306953991,-1.5547442619855869,-1.6640601096901111,-1.6570611238253321,-1.490280198117738
2000-08,-1.6641910705190981,-1.410093203698723,-2.0437095998020181,-1.7256990798928189,-1.610794939888317,-2.2743596631165142,-2.3270477753123759,-1.7472000669589891,-1.5515076053444881,-1.3545856182099529
2000-09,-1.6675421631857119,-1.4441622162547241,-2.0451744359659489,-1.6564009112874101,-1.3982498474001961,-1.789420330189512,-1.4685593520376521,-1.65969431016383,-1.59098149866523,-1.302160066815474
2000-10,-1.6868746613384891,-1.2680651973447039,-1.795742138175463,-1.608540028542764,-1.342392221723707,-1.5599883296012951,-1.5922587688049059,-1.444607352906405,-1.521561571365277,-1.27412413879968
2000-11,-1.665256653716509,-1.402217554806336,-1.737670822039961,-1.5486672673817949,-1.489343584397826,-1.5602811928608991,-1.622330113090019,-1.4230230324708739,-1.545687027143144,-1.489258531056266
2000-12,-1.6656381127549851,-1.4698505976002489,-1.900851363997466,-1.611185846426068,-1.363907650202012,-1.644637448243828,-1.4897104510468531,-1.809460940313552,-1.639508973313067,-1.51303150195365
2001-01,-1.7956115522274749,-1.5558843659574051,-1.762133985470185,-1.5631274379239539,-2.03445803922469,-1.6273191423969811,-1.617731115334589,-1.5914901046544101,-1.7137066658410289,-1.6871334623514549
2001-02,-1.728575574638582,-1.661138591448946,-1.852008824313268,-1.6561570453709089,-1.8857919281775331,-1.7709789303746299,-1.588521451193722,-1.6654544269010849,-1.7845209136369951,-1.7769315766441851
2001-03,-1.6642930462636909,-1.442792538186483,-1.7933540238229211,-1.493149858400211,-1.4070349143735279,-1.345867478840074,-1.224355071367268,-1.511282520771414,-1.681111845928362,-1.607703925711027
2001-04,-1.655336705922801,-1.6043280806639379,-1.856583729118805,-1.71513488899388,-1.885851997396873,-1.933243663640928,-1.7724789249643831,-1.7992825028592769,-1.8448133014600681,-1.613029169060356
2001-05,-1.706477533160186,-1.6618095953510641,-1.8979946104585139,-1.6572203073783409,-2.063476011906145,-1.896663005091306,-1.5537532850051581,-1.740072404651404,-1.812860905387748,-1.5572192264472591
2001-06,-1.6713307954772461,-1.656483069530126,-1.9754833846341571,-1.6976002873559899,-2.059117761077351,-1.835539006699294,-1.584299972771416,-1.75622245077441,-1.8314518613422961,-1.683244633219777
2001-07,-1.669072614882932,-1.679176144797123,-1.9463563277296929,-1.7848360881826359,-2.105473125977579,-1.9217367241092389,-1.59079383924703,-1.8652422840644309,-1.811516104301873,-1.479382518922012
2001-08,-1.6470808697141111,-1.6431875076757829,-2.0051059697614582,-1.775300381964398,-2.13123630339234,-2.305535251015451,-2.39976276449547,-2.0728061880634758,-1.836115398435723,-1.5000356231347689
2001-09,-1.6404133877140781,-1.766973892484589,-2.034576418265861,-1.705822219269493,-2.0804100402557522,-1.906155178351296,-1.607612462112773,-1.974208629935962,-1.805262716730319,-1.472117865360737
2001-10,-1.686643780062745,-1.5298466475288179,-1.765361091071455,-1.615655993765984,-1.9226165576921479,-1.5874345262404539,-1.484573820207703,-1.664939237950634,-1.7392320524813389,-1.5145232803037809
2001-11,-1.6553288456178319,-1.7098175033995211,-1.8713181521837521,-1.6896987933283389,-2.118735557555453,-1.8128509442704821,-1.70629365500621,-1.8628930742813401,-1.7710200767824571,-1.655750350227015
2001-12,-1.640462579688881,-1.8140513879058819,-2.1343877591718261,-1.805077194390031,-2.2947490294407298,-2.3204489812052089,-1.6647236199238371,-2.2874251108681691,-1.818864854433117,-1.689130268847767
2002-01,-1.706328274124115,-1.881587584775779,-2.0795179921006972,-1.7347038888092581,-2.5515938581972399,-2.0421225814782709,-1.875864936594964,-1.953665584732549,-1.875277983327347,-1.828016204269906
2002-02,-1.762842947210036,-1.8643490103007421,-2.0740618343835471,-1.7859166068399419,-2.4312001561293402,-2.1089265812774838,-1.796036581867523,-2.0262695129515582,-1.906261436423121,-1.9711548724794681
2002-03,-1.6448072808398599,-1.7140925591882741,-1.980344881928098,-1.653735531022682,-1.8956021691348861,-1.8590781522976181,-1.5793662035169851,-1.8832243682218099,-1.715651397113932,-1.6085607842895739
2002-04,-1.576262384971995,-1.671103345273701,-1.894989021762872,-1.7192745712484681,-2.0522719441085959,-1.855315545000519,-1.7957110830227401,-1.724297201904136,-1.7133135294496009,-1.6175242207750089
2002-05,-1.6445503720642189,-1.6788613955440681,-2.0597966122757891,-1.6805953290118489,-2.0732939394922831,-1.998941771432335,-1.519415916428146,-1.6414445486818701,-1.6645141624168001,-1.5880515376245781
2002-06,-1.618943875654838,-1.6168454163431429,-1.7428356695802401,-1.62680727737135,-1.9957103036141119,-1.779690434425214,-1.483187427570227,-1.823712716647188,-1.7074897145948591,-1.598912480371109
2002-07,-1.550504321754884,-1.5664786182882711,-1.7357248018854849,-1.605082968413672,-1.661374731211374,-1.5648541155365789,-1.1692074309477569,-1.3811068703965319,-1.6193548641071469,-1.365718799726968
2002-08,-1.539832647709179,-1.555036964122255,-1.8692581224311,-1.71217582651856,-1.958924375740519,-2.315618743647804,-2.3243167942785621,-1.992498108103719,-1.6953980192260349,-1.4273145733791299
2002-09,-1.486989292296927,-1.594761086884253,-1.7873928683628271,-1.5170942190276451,-1.8157600438024799,-1.655381873362505,-1.411996547853313,-1.589502203220059,-1.631966213931084,-1.352797147765282
2002-10,-1.5579333684018759,-1.500152995468587,-1.644471337522434,-1.4712280285499839,-1.700098538959089,-1.4094125663620349,-1.1904016349495989,-1.3672152256495691,-1.551102659328687,-1.3266922930125289
2002-11,-1.505005059229964,-1.467588553517851,-1.567564454048245,-1.4880864408672121,-1.602991904736369,-1.592820338006381,-1.4176108388624491,-1.6967127511962341,-1.5486437473484,-1.4339371713758109
2002-12,-1.500992399570992,-1.4904372740198759,-1.7979043348593171,-1.5447491095320369,-1.7087810175091529,-1.717869029315805,-1.228741865099285,-1.926187167032452,-1.518226532512492,-1.480314740786234
2003-01,-1.5187847290932539,-1.683025770276801,-1.604006445469254,-1.4329347776666921,-1.9620394134402761,-1.3833483366284089,-1.402286792382526,-1.4601674419137349,-1.5915799597586211,-1.531479295905098
2003-02,-1.63669015385395,-1.720377167900381,-1.581332717451881,-1.4637419949146679,-1.9442173602943551,-1.4800332326813539,-1.3195523257407831,-1.635559933851938,-1.596866324982398,-1.833656402438463
2003-03,-1.461920471980398,-1.497752600066165,-1.4657837217012959,-1.317889936379669,-1.4835391925879999,-1.033096563511601,-1.0868241962604399,-1.419396888348684,-1.4572525907304481,-1.396586038337805
2003-04,-1.400613251228622,-1.5077000599759169,-1.561675272269565,-1.484682399830872,-1.5740812054495521,-1.418019713350603,-1.323570698944843,-1.3578596941888481,-1.529341105044514,-1.477343869272387
2003-05,-1.4587453078614141,-1.568014317940541,-1.469635546408721,-1.4056051536308021,-1.7012491602586099,-1.44868133162026,-1.094248987891755,-1.3793109575997129,-1.567740777770734,-1.42002927916974
2003-06,-1.4526942264655851,-1.513341335049911,-1.4444654983442711,-1.4167268430906541,-1.732409991128137,-1.2645922202475299,-1.132323724387102,-1.4766770722562761,-1.4920738012102219,-1.4172611017308061
2003-07,-1.370956181768753,-1.4504087783538251,-1.4115725305531139,-1.428093364603964,-1.51585052499371,-1.245155983271597,-0.89443110792939695,-1.165487033786158,-1.450331180500241,-1.241648359880573
2003-08,-1.4034162394507581,-1.558993811874952,-1.7929250616654331,-1.6263688820072411,-1.825519283471335,-2.2433008326412112,-2.288003119942728,-1.848088495336188,-1.577693147855421,-1.309333248691265
2003-09,-1.2884711304732379,-1.498364804657272,-1.441656496542435,-1.3328966176718999,-1.370286169182066,-1.1765275012176959,-1.1130287778479091,-1.341090942693697,-1.4587244761984539,-1.2289814272896971
2003-10,-1.3469263271930729,-1.17704386390067,-1.205958639787206,-1.1514728728717909,-0.99260628915530713,-0.82215311432069249,-0.78071067570456032,-1.061299535563563,-1.2361999740465781,-1.149511835995354
2003-11,-1.328949254476548,-1.3311810695398221,-1.2335419730496771,-1.250984836998861,-1.3224902275149579,-1.1944539185932641,-1.1258065287491099,-1.269334954179582,-1.2909346102369721,-1.2628821087711981
