multiplier_g,multiplier_h,lambda_g,lambda_h,rank_g,rank_h,penalized_rank_g,penalized_rank_h,converged,iterations,final_change,objective
0.4,0.4,1.7302812913567724,1.7302812913567724,9,5,9,5,True,58,8.594691670163464e-07,609.0363834958838
0.4,0.6,1.7302812913567724,2.5954219370351583,9,4,9,4,True,56,9.243073064254814e-07,617.3517359424588
0.4,0.8,1.7302812913567724,3.460562582713545,9,3,9,3,True,55,8.379523912309684e-07,622.4107082815331
0.4,1.0,1.7302812913567724,4.325703228391931,9,2,9,2,True,53,9.872540813495917e-07,625.1676458431176
0.4,1.2,1.7302812913567724,5.190843874070317,9,2,9,2,True,52,9.59110767606723e-07,626.3157237744313
0.4,1.4,1.7302812913567724,6.055984519748703,9,0,9,0,True,52,8.74796388205307e-07,626.3683951194417
0.4,1.6,1.7302812913567724,6.92112516542709,9,0,9,0,True,52,8.74796388205307e-07,626.3683951194417
0.4,1.8,1.7302812913567724,7.786265811105476,9,0,9,0,True,52,8.74796388205307e-07,626.3683951194417
0.4,2.0,1.7302812913567724,8.651406456783862,9,0,9,0,True,52,8.74796388205307e-07,626.3683951194417
0.4,2.4,1.7302812913567724,10.381687748140633,9,0,9,0,True,52,8.74796388205307e-07,626.3683951194417
0.4,2.8,1.7302812913567724,12.111969039497406,9,0,9,0,True,52,8.74796388205307e-07,626.3683951194417
0.4,3.2,1.7302812913567724,13.84225033085418,9,0,9,0,True,52,8.74796388205307e-07,626.3683951194417
0.6,0.4,2.5954219370351583,1.7302812913567724,8,5,8,5,True,38,8.732410864832704e-07,629.6818733244296
0.6,0.6,2.5954219370351583,2.5954219370351583,8,4,8,4,True,36,9.805559894155394e-07,637.8076732257829
0.6,0.8,2.5954219370351583,3.460562582713545,8,3,8,3,True,35,9.786382190786903e-07,642.7477526949748
0.6,1.0,2.5954219370351583,4.325703228391931,8,2,8,2,True,35,7.034799158304615e-07,645.4346408766917
0.6,1.2,2.5954219370351583,5.190843874070317,8,2,8,2,True,34,7.555716054833791e-07,646.5274614496516
0.6,1.4,2.5954219370351583,6.055984519748703,8,0,8,0,True,34,6.962514196374075e-07,646.5719167331565
0.6,1.6,2.5954219370351583,6.92112516542709,8,0,8,0,True,34,6.962514196374075e-07,646.5719167331565
0.6,1.8,2.5954219370351583,7.786265811105476,8,0,8,0,True,34,6.962514196374075e-07,646.5719167331565
0.6,2.0,2.5954219370351583,8.651406456783862,8,0,8,0,True,34,6.962514196374075e-07,646.5719167331565
0.6,2.4,2.5954219370351583,10.381687748140633,8,0,8,0,True,34,6.962514196374075e-07,646.5719167331565
0.6,2.8,2.5954219370351583,12.111969039497406,8,0,8,0,True,34,6.962514196374075e-07,646.5719167331565
0.6,3.2,2.5954219370351583,13.84225033085418,8,0,8,0,True,34,6.962514196374075e-07,646.5719167331565
0.8,0.4,3.460562582713545,1.7302812913567724,6,5,6,5,True,32,7.56102083728075e-07,644.226110718859
0.8,0.6,3.460562582713545,2.5954219370351583,6,4,6,4,True,26,8.844191584261297e-07,652.2001380448606
0.8,0.8,3.460562582713545,3.460562582713545,6,3,6,3,True,25,9.359918375261002e-07,657.074540132414
0.8,1.0,3.460562582713545,4.325703228391931,6,2,6,2,True,25,6.391179887257183e-07,659.7356140688854
0.8,1.2,3.460562582713545,5.190843874070317,6,2,6,2,True,24,7.722196525458113e-07,660.8104882679778
0.8,1.4,3.460562582713545,6.055984519748703,6,0,6,0,True,24,7.216743341730351e-07,660.863046556896
0.8,1.6,3.460562582713545,6.92112516542709,6,0,6,0,True,24,7.216743341730351e-07,660.863046556896
0.8,1.8,3.460562582713545,7.786265811105476,6,0,6,0,True,24,7.216743341730351e-07,660.863046556896
0.8,2.0,3.460562582713545,8.651406456783862,6,0,6,0,True,24,7.216743341730351e-07,660.863046556896
0.8,2.4,3.460562582713545,10.381687748140633,6,0,6,0,True,24,7.216743341730351e-07,660.863046556896
0.8,2.8,3.460562582713545,12.111969039497406,6,0,6,0,True,24,7.216743341730351e-07,660.863046556896
0.8,3.2,3.460562582713545,13.84225033085418,6,0,6,0,True,24,7.216743341730351e-07,660.863046556896
1.0,0.4,4.325703228391931,1.7302812913567724,4,5,4,5,True,32,7.150701042775264e-07,654.0640855840313
1.0,0.6,4.325703228391931,2.5954219370351583,4,4,4,4,True,20,8.384657148737497e-07,661.9214107079939
1.0,0.8,4.325703228391931,3.460562582713545,4,3,4,3,True,19,7.621092969466833e-07,666.7618754651575
1.0,1.0,4.325703228391931,4.325703228391931,4,2,4,2,True,18,9.887251689866047e-07,669.4215732617289
1.0,1.2,4.325703228391931,5.190843874070317,4,1,4,1,True,18,6.474561864954701e-07,670.5001836308527
1.0,1.4,4.325703228391931,6.055984519748703,4,0,4,0,True,18,6.145242704855038e-07,670.5732223872839
1.0,1.6,4.325703228391931,6.92112516542709,4,0,4,0,True,18,6.145242704855038e-07,670.5732223872839
1.0,1.8,4.325703228391931,7.786265811105476,4,0,4,0,True,18,6.145242704855038e-07,670.5732223872839
1.0,2.0,4.325703228391931,8.651406456783862,4,0,4,0,True,18,6.145242704855038e-07,670.5732223872839
1.0,2.4,4.325703228391931,10.381687748140633,4,0,4,0,True,18,6.145242704855038e-07,670.5732223872839
1.0,2.8,4.325703228391931,12.111969039497406,4,0,4,0,True,18,6.145242704855038e-07,670.5732223872839
1.0,3.2,4.325703228391931,13.84225033085418,4,0,4,0,True,18,6.145242704855038e-07,670.5732223872839
1.2,0.4,5.190843874070317,1.7302812913567724,4,5,4,5,True,31,9.753010176759448e-07,660.6162799615882
1.2,0.6,5.190843874070317,2.5954219370351583,4,4,4,4,True,20,5.590813643534489e-07,668.4053094462757
1.2,0.8,5.190843874070317,3.460562582713545,4,3,4,3,True,15,5.320136926389553e-07,673.2522001780353
1.2,1.0,5.190843874070317,4.325703228391931,4,2,4,2,True,14,7.34731265002489e-07,675.9314929387521
1.2,1.2,5.190843874070317,5.190843874070317,4,1,4,1,True,14,4.283439210367322e-07,677.0312434236064
1.2,1.4,5.190843874070317,6.055984519748703,4,0,4,0,True,14,4.023101207025245e-07,677.1363372987219
1.2,1.6,5.190843874070317,6.92112516542709,4,0,4,0,True,14,4.023101207025245e-07,677.1363372987219
1.2,1.8,5.190843874070317,7.786265811105476,4,0,4,0,True,14,4.023101207025245e-07,677.1363372987219
