lambda0,edges,bic,penalized_converged,penalized_iterations,objective_min,objective_max,qml_success,qml_feasible
0.0,45,1042.6151597804992,True,22,0.07509707152681185,0.09638480402834208,True,True
0.01,43,1032.632272221053,True,17,0.14371743810233448,0.1453248644021286,True,True
0.02,36,1024.8503603088047,True,227,0.20387776555071624,0.20507856327420765,True,True
0.04,31,1027.4785451739722,True,84,0.29320127016116815,0.2992891389927147,True,True
0.06,31,1027.9704181821696,True,80,0.37397856327954937,0.3834511863967504,True,True
0.08,30,1022.4914873341636,True,85,0.45041820402927185,0.4634855979069468,True,True
0.1,27,1011.3561470172733,True,43,0.5233198599363877,0.5397420942342981,True,True
0.12,24,1000.7983448801639,True,36,0.593270104257433,0.6125860653618691,True,True
0.15,23,996.4440055198162,True,35,0.6928852024749719,0.7153774213687759,True,True
0.2,21,988.6813183289037,True,38,0.844373228346911,0.8684357240901066,True,True
0.3,13,1000.9823082915466,True,35,1.0821026182588027,1.0981645619265197,True,True
